customer_id,name,lat,lng,address,dwelling_type,current_item,drop_location_text,photo_filename,preferred_time_slot,depot_id,is_active
C0001,金子 達也,34.982291,135.814981,京都市山科区大宅細田町4丁目12-8,戸建て,Cut Meal 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0002,三浦 真由美,34.936415,135.798175,宇治市六地蔵奈良町1丁目7-10,戸建て,Cut Meal 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0003,山崎 友美,34.99014,135.817543,京都市山科区竹鼻竹ノ街道町3丁目31-9,戸建て,キットde楽! 2人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0004,藤井 次郎,34.973838,135.8136,京都市山科区大宅細田町4丁目15-17 ファミール601号,集合住宅,食番 2人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0005,田中 剛,34.945234,135.811415,京都市山科区小野西浦1丁目16-13,戸建て,定番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0006,岡田 真由美,34.986707,135.81013,京都市山科区音羽平林町2丁目19-16,戸建て,Cut Meal 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0007,坂本 健一,34.97906,135.808225,京都市山科区東野中井手町4丁目14-7,戸建て,定番 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0008,中島 太郎,34.932557,135.806662,宇治市六地蔵町並2丁目10-4,戸建て,定番 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0009,岡本 雅人,34.95585,135.766272,京都市伏見区深草キトロ町2丁目28-2 ファミール407号,集合住宅,Lovyu 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0010,山下 健一,34.971564,135.817905,京都市山科区東野中井手町3丁目12-5,戸建て,プチママ 3人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0011,石井 健一,34.928434,135.806764,宇治市木幡御蔵山平野部3丁目2-13 ベルメゾン502号,集合住宅,プチママ 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0012,山口 翔太,34.987764,135.816041,京都市山科区音羽平林町3丁目28-2,戸建て,プチママ 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0013,西村 麻衣,34.937211,135.806896,宇治市六地蔵町並3丁目32-7,戸建て,食番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0014,近藤 優子,34.969755,135.813967,京都市山科区大宅御所田町4丁目30-8,戸建て,定番 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0015,遠藤 健一,34.984804,135.810476,京都市山科区西野今屋敷町1丁目24-15,戸建て,Cut Meal 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0016,斎藤 陽子,34.949336,135.811466,京都市伏見区小栗栖中山田町3丁目6-5,戸建て,Lovyu 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0017,田中 次郎,34.983928,135.814597,京都市山科区大宅細田町1丁目7-5,戸建て,Cut Meal 2人用,勝手口横,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0018,中川 麻衣,34.942687,135.814965,京都市伏見区石田大受町4丁目31-7,戸建て,キットde楽! 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0019,中村 美咲,34.971951,135.81765,京都市山科区勧修寺平田町4丁目10-7,戸建て,定番 3人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0020,松田 俊介,34.978738,135.811411,京都市山科区西野今屋敷町2丁目32-11,戸建て,定番 3人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0021,山口 香織,34.991868,135.815264,京都市山科区音羽中堀町2丁目27-16,戸建て,キットde楽! 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0022,藤田 幸子,34.976921,135.81593,京都市山科区西野楳本町1丁目32-6,戸建て,定番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0023,佐々木 幸子,34.971139,135.814494,京都市山科区大宅細田町2丁目31-11,戸建て,Lovyu 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0024,清水 和也,34.956725,135.810185,京都市山科区小野西浦2丁目6-9 グランドメゾン103号,集合住宅,定番 3人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0025,坂本 陽子,34.972522,135.81855,京都市山科区西野楳本町4丁目5-9,戸建て,定番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0026,山田 剛,34.958543,135.810677,京都市伏見区石田大受町1丁目3-8,戸建て,食番 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0027,西村 俊介,34.942833,135.810466,京都市伏見区石田大受町2丁目27-4 エクセレンス204号,集合住宅,定番 2人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0028,三浦 俊介,34.936065,135.803745,宇治市木幡内畑3丁目22-18 エクセレンス603号,集合住宅,プチママ 3人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0029,山崎 次郎,34.978585,135.81642,京都市山科区大宅御所田町2丁目29-1,戸建て,プチママ 3人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0030,小川 花子,34.951641,135.760917,京都市伏見区墨染町2丁目1-1,戸建て,キットde楽! 2人用,玄関前置き配,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0031,三浦 拓也,34.984094,135.811104,京都市山科区東野百拍子町1丁目27-2,戸建て,食番 2人用,カーポート下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0032,三浦 優子,34.948117,135.815219,京都市伏見区小栗栖森本町3丁目24-15,戸建て,定番 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0033,藤井 直人,34.934418,135.807918,宇治市木幡南端3丁目21-3 ファミール407号,集合住宅,定番 2人用,玄関前置き配,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0034,村上 美咲,34.989084,135.813856,京都市山科区竹鼻堂ノ前町4丁目20-1,戸建て,食番 2人用,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0035,中島 誠,34.929748,135.803557,宇治市木幡東中4丁目11-10 ファミール305号,集合住宅,定番 3人用,管理人室預け,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0036,吉田 和也,34.950779,135.812107,京都市山科区小野西浦4丁目15-1,戸建て,キットde楽! 2人用,玄関前（鍵付きBOX）,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0037,藤井 美咲,34.987907,135.809602,京都市山科区竹鼻地蔵寺南町1丁目24-17 パセオ505号,集合住宅,定番 3人用,マンション集合宅配BOX,sample_apartment.jpg,時間指定なし,depot-kyoto-higashi,True
C0038,伊藤 健一,34.973967,135.817311,京都市山科区椥辻中在家町4丁目7-15,戸建て,Lovyu 2人用,インターホン下,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
C0039,松本 直樹,34.953692,135.809721,京都市山科区小野西浦1丁目8-10,戸建て,ベジミール,宅配ボックス,sample_house.jpg,時間指定なし,depot-kyoto-higashi,True
